"","eventLabel","totalEvents"
"107","http%3A%2F%2Fdatos.sct.gob.mx%3A8082%2Fdatos%2Fdatos%2Fabiertos%2F21401_TarifasVigentes.csv",33
"108","http%3A%2F%2Fdatos.sct.gob.mx%3A8082%2Fdatos%2Fdatos%2Fabiertos%2F21402_CasetasDeCobro_Ubica.csv",34
"109","http%3A%2F%2Fdatos.sct.gob.mx%3A8082%2Fdatos%2Fdatos%2Fabiertos%2F31001_DGAC_01SASE_ABRIL_2014_FLET%2520INT.csv",6
"110","http%3A%2F%2Fdatos.sct.gob.mx%3A8082%2Fdatos%2Fdatos%2Fabiertos%2F31001_DGAC_02SASE_ABRIL_2014_FLET%2520NAC.csv",5
"111","http%3A%2F%2Fdatos.sct.gob.mx%3A8082%2Fdatos%2Fdatos%2Fabiertos%2F31001_DGAC_03SASE_ABRIL_2014_REG%2520INT.csv",3
"112","http%3A%2F%2Fdatos.sct.gob.mx%3A8082%2Fdatos%2Fdatos%2Fabiertos%2F31001_DGAC_04SASE_ABRIL_2014_REG%2520NAC.csv",9
"113","http%3A%2F%2Fdatos.sct.gob.mx%3A8082%2Fdatos%2Fdatos%2Fabiertos%2F31101_PEREMPRESA%2520FERROVIARIA.csv",2
"114","http%3A%2F%2Fdatos.sct.gob.mx%3A8082%2Fdatos%2Fdatos%2Fabiertos%2F31102_LICPERTIPOLIC.csv",13
"115","http%3A%2F%2Fdatos.sct.gob.mx%3A8082%2Fdatos%2Fdatos%2Fabiertos%2F31103_LICPERTIPOLICCAP.csv",1
"116","http%3A%2F%2Fdatos.sct.gob.mx%3A8082%2Fdatos%2Fdatos%2Fabiertos%2F31104_LICSOLICITUD.csv",2
"117","http%3A%2F%2Fdatos.sct.gob.mx%3A8082%2Fdatos%2Fdatos%2Fabiertos%2F31201_FLOTA_ACTIVA_Mayo.csv",35
"118","http%3A%2F%2Fdatos.sct.gob.mx%3A8082%2Fdatos%2Fdatos%2Fabiertos%2F31202_TramitesSPFMayo.csv",4
"119","http%3A%2F%2Fdatos.sct.gob.mx%3A8082%2Fdatos%2Fdatos%2Fabiertos%2F31203_eLicenciasVigentes.csv",19
"120","http%3A%2F%2Fdatos.sct.gob.mx%3A8082%2Fdatos%2Fdatos%2Fabiertos%2F31301_DGPMP_MEDICINA_PREVENTIVA.csv",3
"121","http%3A%2F%2Fdatos.sct.gob.mx%3A8082%2Fdatos%2Fdatos%2Fabiertos%2F41101_DGPTR_AvanceTDT.csv",58
"122","http%3A%2F%2Fdatos.sct.gob.mx%3A8082%2Fdatos%2Fdatos%2Fabiertos%2F411X01_MexicoConectado.csv",10
"123","http%3A%2F%2Fdatos.sct.gob.mx%3A8082%2Fdatos%2Fdatos%2Fabiertos%2F51001_DGP_01_BDport_stats.csv",7
"124","http%3A%2F%2Fdatos.sct.gob.mx%3A8082%2Fdatos%2Fdatos%2Fabiertos%2F51101_DGMM_01_Matriculaci%25C3%25B3n%25202014%2520completas.csv",2
"125","http%3A%2F%2Fdatos.sct.gob.mx%3A8082%2Fdatos%2Fdatos%2Fabiertos%2F51101_DGMM_01_Matriculaci%C3%B3n%25202014%2520completas.csv",2
"126","http%3A%2F%2Fdatos.sct.gob.mx%3A8082%2Fdatos%2Fdatos%2Fabiertos%2F51101_DGMM_02_MENORES%2520A%2520100%2520M%2520DE%2520ESLORA.csv",3
"127","http%3A%2F%2Fdatos.sedesol.gob.mx%2Festanciasinfantiles%2Festanciasinfantiles.csv",86
"128","http%3A%2F%2Fdatos.sedesol.gob.mx%2Fpadronbeneficiarios%2Fpam%2Fpam_1_141_142.zip",69
"129","http%3A%2F%2Fdatos.sedesol.gob.mx%2Fproyectosproductivos%2Fproyectosproductivos.csv",38
"130","http%3A%2F%2Ffs.planeacion.sep.gob.mx%2Fcct%2Fcct.zip",73
"131","http%3A%2F%2Ffs.planeacion.sep.gob.mx%2Fcct%2Fcct01.csv",20
"132","http%3A%2F%2Ffs.planeacion.sep.gob.mx%2Fcct%2Fcct02.csv",8
"133","http%3A%2F%2Ffs.planeacion.sep.gob.mx%2Fcct%2Fcct03.csv",4
"134","http%3A%2F%2Ffs.planeacion.sep.gob.mx%2Fcct%2Fcct04.csv",6
"135","http%3A%2F%2Ffs.planeacion.sep.gob.mx%2Fcct%2Fcct05.csv",2
"136","http%3A%2F%2Ffs.planeacion.sep.gob.mx%2Fcct%2Fcct06.csv",3
"137","http%3A%2F%2Ffs.planeacion.sep.gob.mx%2Fcct%2Fcct07.csv",5
"138","http%3A%2F%2Ffs.planeacion.sep.gob.mx%2Fcct%2Fcct08.csv",2
"139","http%3A%2F%2Ffs.planeacion.sep.gob.mx%2Fcct%2Fcct09.csv",11
"140","http%3A%2F%2Ffs.planeacion.sep.gob.mx%2Fcct%2Fcct10.csv",3
"141","http%3A%2F%2Ffs.planeacion.sep.gob.mx%2Fcct%2Fcct11.csv",2
"142","http%3A%2F%2Ffs.planeacion.sep.gob.mx%2Fcct%2Fcct12.csv",2
"143","http%3A%2F%2Ffs.planeacion.sep.gob.mx%2Fcct%2Fcct13.csv",3
"144","http%3A%2F%2Ffs.planeacion.sep.gob.mx%2Fcct%2Fcct14.csv",4
