"X","eventLabel","totalEvents"
208,"http://utilnet.bdi.pemex.com/DatosAbiertosSW/bdi.asmx/bdiDatosAbiertos?cvecua=GPROGAC_G&anioi=2013&aniof=2014&periodicidad=MENSUAL",4
209,"http://utilnet.bdi.pemex.com/DatosAbiertosSW/bdi.asmx/bdiDatosAbiertos?cvecua=GVALORX_G&anioi=2013&aniof=2014&periodicidad=MENSUAL",9
210,"http://utilnet.bdi.pemex.com/DatosAbiertosSW/bdi.asmx/bdiDatosAbiertos?cvecua=GVALVIN_G&anioi=2013&aniof=2014&periodicidad=MENSUAL",6
211,"http://utilnet.bdi.pemex.com/DatosAbiertosSW/bdi.asmx/bdiDatosAbiertos?cvecua=GVOLUX_G&anioi=2013&aniof=2014&periodicidad=MENSUAL",3
212,"http://utilnet.bdi.pemex.com/DatosAbiertosSW/bdi.asmx/bdiDatosAbiertos?cvecua=GVOLVIN_G&anioi=2013&aniof=2014&periodicidad=MENSUAL",4
213,"http://utilnet.bdi.pemex.com/DatosAbiertosSW/bdi.asmx/bdiDatosAbiertos?cvecua=INDI04&anioi=2013&aniof=2014&periodicidad=MENSUAL",16
214,"http://utilnet.bdi.pemex.com/DatosAbiertosSW/bdi.asmx/bdiDatosAbiertos?cvecua=INDI05&anioi=2013&aniof=2014&periodicidad=MENSUAL",3
215,"http://utilnet.bdi.pemex.com/DatosAbiertosSW/bdi.asmx/bdiDatosAbiertos?cvecua=INDI06&anioi=2013&aniof=2014&periodicidad=MENSUAL",2
216,"http://utilnet.bdi.pemex.com/DatosAbiertosSW/bdi.asmx/bdiDatosAbiertos?cvecua=INDI13&anioi=2013&aniof=2014&periodicidad=MENSUAL",4
217,"http://utilnet.bdi.pemex.com/DatosAbiertosSW/bdi.asmx/bdiDatosAbiertos?cvecua=INDI14&anioi=2013&aniof=2014&periodicidad=MENSUAL",4
218,"http://utilnet.bdi.pemex.com/DatosAbiertosSW/bdi.asmx/bdiDatosAbiertos?cvecua=INDI15&anioi=2013&aniof=2014&periodicidad=MENSUAL",3
219,"http://utilnet.bdi.pemex.com/DatosAbiertosSW/bdi.asmx/bdiDatosAbiertos?cvecua=IPET22&anioi=2013&aniof=2014&periodicidad=MENSUAL",27
220,"http://utilnet.bdi.pemex.com/DatosAbiertosSW/bdi.asmx/bdiDatosAbiertos?cvecua=IPREXCO&anioi=2013&aniof=2014&periodicidad=MENSUAL",5
221,"http://utilnet.bdi.pemex.com/DatosAbiertosSW/bdi.asmx/bdiDatosAbiertos?cvecua=IVALORX&anioi=2013&aniof=2014&periodicidad=MENSUAL",1
222,"http://utilnet.bdi.pemex.com/DatosAbiertosSW/bdi.asmx/bdiDatosAbiertos?cvecua=IVALXCO&anioi=2013&aniof=2014&periodicidad=MENSUAL",1
223,"http://utilnet.bdi.pemex.com/DatosAbiertosSW/bdi.asmx/bdiDatosAbiertos?cvecua=IVALXPQ&anioi=2013&aniof=2014&periodicidad=MENSUAL",2
224,"http://utilnet.bdi.pemex.com/DatosAbiertosSW/bdi.asmx/bdiDatosAbiertos?cvecua=IVALXPT&anioi=2013&aniof=2014&periodicidad=MENSUAL",1
225,"http://utilnet.bdi.pemex.com/DatosAbiertosSW/bdi.asmx/bdiDatosAbiertos?cvecua=IVOLUX&anioi=2013&aniof=2014&periodicidad=MENSUAL",3
226,"http://utilnet.bdi.pemex.com/DatosAbiertosSW/bdi.asmx/bdiDatosAbiertos?cvecua=IVOLXCO&anioi=2013&aniof=2014&periodicidad=MENSUAL",9
227,"http://utilnet.bdi.pemex.com/DatosAbiertosSW/bdi.asmx/bdiDatosAbiertos?cvecua=IVOLXPA&anioi=2013&aniof=2014&periodicidad=MENSUAL",7
228,"http://utilnet.bdi.pemex.com/DatosAbiertosSW/bdi.asmx/bdiDatosAbiertos?cvecua=IVOLXPP&anioi=2013&aniof=2014&periodicidad=MENSUAL",1
229,"http://utilnet.bdi.pemex.com/DatosAbiertosSW/bdi.asmx/bdiDatosAbiertos?cvecua=IVOLXPQ&anioi=2013&aniof=2014&periodicidad=MENSUAL",2
